,processo,classe,assunto,magistrado,comarca,foro,vara,disponibilizacao
64,00029126520168260274,Ação Penal - Procedimento Ordinário,Crimes de Trânsito,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-01-31
65,00010410520138260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-01-23
66,00003115720148260274,Ação Penal - Procedimento Sumário,Lesão Corporal,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-01-11
67,00001958020168260274,Ação Penal - Procedimento Ordinário,Furto Qualificado,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-01-11
68,10085481220158260506,Procedimento Comum Cível,Indenização por Dano Moral,Guilherme Stamillo Santarelli Zuliani,Ribeirão Preto,Foro de Ribeirão Preto,1ª Vara Cível,2019-01-07
69,00000510720148260556,Ação Penal de Competência do Júri,Homicídio Simples,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-12-18
70,00004552620178260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-20
71,00022016020168260274,Ação Penal - Procedimento Sumaríssimo,Desacato,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-19
72,00036075320158260274,Ação Penal - Procedimento Ordinário,Furto Qualificado,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-19
73,00018871720168260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-14
74,00005009820158260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-14
75,00016609520178260434,Ação Penal - Procedimento Sumaríssimo,Desacato,Luiz Gustavo Giuntini de Rezende,Pedregulho,Foro de Pedregulho,Juizado Especial Cível e Criminal,2018-11-14
76,10175553220178260482,Despejo por Falta de Pagamento Cumulado Com Cobrança,Locação de Imóvel,SILAS SILVA SANTOS,Presidente Prudente,Foro de Presidente Prudente,2ª Vara Cível,2018-11-13
77,00024051220138260274,Ação Penal de Competência do Júri,Homicídio Simples,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-08
78,00022852720178260274,Ação Penal - Procedimento Sumário,Decorrente de Violência Doméstica,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-07
79,00014628720168260274,Ação Penal - Procedimento Ordinário,Furto Qualificado,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-07
80,00034123420168260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-12-17
81,00344923820188260050,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Edison Tetsuzo Namba,SÃO PAULO,Foro Central Criminal Barra Funda,31ª Vara Criminal,2018-12-13
82,00009663420148260434,Ação Penal - Procedimento Sumaríssimo,Desacato,Luiz Gustavo Giuntini de Rezende,Pedregulho,Foro de Pedregulho,Juizado Especial Cível e Criminal,2018-12-11
83,00018473520168260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-12-10
84,15001419620188260556,Ação Penal - Procedimento Ordinário,Tráfico de Drogas e Condutas Afins,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-12-10
85,00048628020148260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-12-10
86,15006024120188260274,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-12-10
87,10045415620178260554,"Crimes de Calúnia, Injúria e Difamação de Competência do Juiz Singular",Injúria,MARIA LUCINDA DA COSTA,Santo André,Foro de Santo André,1ª Vara Criminal,2018-12-03
88,10091957520158260451,Procedimento Comum Cível,Indenização por Dano Moral,Luiz Roberto Xavier,Piracicaba,Foro de Piracicaba,4ª Vara Cível,2018-12-03
89,00007388820168260434,Ação Penal - Procedimento Sumaríssimo,Desacato,Luiz Gustavo Giuntini de Rezende,Pedregulho,Foro de Pedregulho,Juizado Especial Cível e Criminal,2018-12-03
90,00006329220148260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-12-01
91,00029703420178260274,Ação Penal - Procedimento Sumário,Roubo,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-29
92,00006082520188260274,Ação Penal - Procedimento Sumário,Decorrente de Violência Doméstica,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-28
93,00004368320188260274,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-27
94,00026290820178260274,Ação Penal - Procedimento Sumário,Injúria,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-27
95,00014709320188260274,Ação Penal - Procedimento Ordinário,Furto Qualificado,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-27
96,00029610920168260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-21
97,00013781820188260274,Ação Penal - Procedimento Ordinário,Furto Qualificado,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-21
98,00014085320188260274,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-21
99,00023026320178260274,Ação Penal - Procedimento Ordinário,Incêndio,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2018-11-20
